year,days_over_35
1907,0
1908,0
1909,1
1910,0
1911,0
1912,0
1913,0
1914,4
1915,0
1916,0
1917,6
1918,2
1919,10
1920,1
1921,3
1922,1
1923,1
1924,9
1925,0
1926,0
1927,1
1928,1
1929,10
1930,13
1931,2
1932,7
1933,1
1934,0
1935,0
1936,0
1937,1
1938,2
1939,30
1940,0
1941,0
1942,2
1943,19
1944,5
1945,7
1946,6
1947,0
1948,0
1949,10
1950,10
1953,0
1954,0
1955,1
1956,1
1957,0
1958,3
1959,4
1960,0
1961,2
1962,2
1963,0
1964,0
1965,1
1966,0
1967,2
1968,0
1969,0
1970,1
1971,0
1972,2
1973,1
1974,0
1975,1
1976,0
1977,1
1978,3
1979,0
1980,0
1981,1
1982,1
1983,0
1984,1
1985,1
1986,0
1987,0
1988,2
1989,1
1990,1
1991,0
1992,0
1993,0
1994,15
1995,0
1996,1
1997,2
1998,0
1999,1
2000,2
2001,1
2002,0
2003,0
2004,2
2005,1
2006,0
2007,0
2008,1
2009,0
2010,0
2011,0
2012,7
2013,0
2014,1
2015,1
2016,9
2017,2
2018,22
2019,10
2020,1
2021,9
2022,2
2023,1
2024,6
2025,13
2026,7
