station_ID,location,date,tavg,tmin,tmax
108,seoul,01/10/1907,13.5,7.9,20.7
108,seoul,02/10/1907,16.2,7.9,22
108,seoul,03/10/1907,16.2,13.1,21.3
108,seoul,04/10/1907,16.5,11.2,22
108,seoul,05/10/1907,17.6,10.9,25.4
108,seoul,06/10/1907,13,11.2,21.3
108,seoul,07/10/1907,11.3,6.3,16.1
108,seoul,08/10/1907,8.9,3.9,14.9
108,seoul,09/10/1907,11.6,3.8,21.1
108,seoul,10/10/1907,14.2,6.4,24.1
108,seoul,11/10/1907,15.4,10.1,20.4
108,seoul,12/10/1907,13.9,11.1,17.4
108,seoul,13/10/1907,13.8,8.3,21.3
108,seoul,14/10/1907,13,6.1,20.6
108,seoul,15/10/1907,13.1,5.7,20.9
108,seoul,16/10/1907,14.1,8.2,20.2
108,seoul,17/10/1907,16.4,10.3,21.6
108,seoul,18/10/1907,14.3,9.8,20.9
108,seoul,19/10/1907,13.9,6.7,21.3
108,seoul,20/10/1907,18.3,12.4,22.7
108,seoul,21/10/1907,15.2,10.7,19.9
108,seoul,22/10/1907,15.4,12.1,19.6
108,seoul,23/10/1907,13.1,8.1,16.3
108,seoul,24/10/1907,9.7,3.3,17.1
108,seoul,25/10/1907,12.7,6.2,18.7
108,seoul,26/10/1907,11.8,7.2,18.2
108,seoul,27/10/1907,14,7.7,20.7
108,seoul,28/10/1907,13.8,8.4,19.6
108,seoul,29/10/1907,14.3,10.7,20
108,seoul,30/10/1907,12.2,6.7,20.1
108,seoul,31/10/1907,13.4,5.2,20.3
108,seoul,01/11/1907,16.1,11.7,21.3
108,seoul,02/11/1907,14.2,9.1,21.1
108,seoul,03/11/1907,6.4,2.3,11.1
108,seoul,04/11/1907,5.9,-1,13.6
108,seoul,05/11/1907,8.6,1.7,17
108,seoul,06/11/1907,9.5,3.6,18.1
108,seoul,07/11/1907,5.7,0,12.4
108,seoul,08/11/1907,4.1,-0.7,9.4
108,seoul,09/11/1907,6.9,0.7,11.9
108,seoul,10/11/1907,7.9,1.7,13.2
108,seoul,11/11/1907,10.3,8.2,13.4
108,seoul,12/11/1907,9.9,5.4,14.9
108,seoul,13/11/1907,9.5,3.7,16.4
108,seoul,14/11/1907,9.5,5.1,15.2
108,seoul,15/11/1907,11.3,3.9,17.6
108,seoul,16/11/1907,11.6,10.1,12.6
108,seoul,17/11/1907,6.6,0.7,11.7
108,seoul,18/11/1907,0.6,-2.7,6.7
108,seoul,19/11/1907,0.4,-2.5,4.3
108,seoul,20/11/1907,2.7,-1.2,7.1
108,seoul,21/11/1907,2.2,-3.5,6.2
108,seoul,22/11/1907,8.9,3.2,11.2
108,seoul,23/11/1907,7.7,5.9,9.9
108,seoul,24/11/1907,-1.1,-5,5.9
108,seoul,25/11/1907,-4.5,-7.3,-0.7
108,seoul,26/11/1907,-1,-5.7,1.5
108,seoul,27/11/1907,-1.1,-6.1,1.9
108,seoul,28/11/1907,-2.7,-8.5,2
108,seoul,29/11/1907,-0.2,-4.6,2.9
108,seoul,30/11/1907,-6.6,-8.9,-2.4
108,seoul,01/12/1907,-4.6,-10.5,1.4
108,seoul,02/12/1907,-3.1,-9,3.4
108,seoul,03/12/1907,1.9,-2.6,6.1
